,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,baseline-accuracy_score,baseline-precision_score,baseline-recall_score,advanced-only-f1_score,advanced-only-accuracy_score,advanced-only-precision_score,advanced-only-recall_score,fourier-only-f1_score,fourier-only-accuracy_score,fourier-only-precision_score,fourier-only-recall_score,baseline-and-fourier-f1_score,baseline-and-fourier-accuracy_score,baseline-and-fourier-precision_score,baseline-and-fourier-recall_score,advanced-and-fourier-f1_score,advanced-and-fourier-accuracy_score,advanced-and-fourier-precision_score,advanced-and-fourier-recall_score,advanced-f1_score,advanced-accuracy_score,advanced-precision_score,advanced-recall_score,fourier-f1_score,fourier-accuracy_score,fourier-precision_score,fourier-recall_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier
71,False,False,False,False,False,False,False,False,0.8889691609315401,0.9279515498836034,0.9139810652785872,0.8652987416337939,0.9244485961526123,0.9503316719656102,0.9376516605602813,0.911617366788019,0.7258610863600603,0.8093804066051973,0.6969818272797387,0.7575971643357221,0.8779242644072964,0.9177519667110934,0.8688279901381352,0.8872274182717567,0.9366439662904291,0.9579689892846179,0.941278154880209,0.9320618799140998,0.9378463768068169,0.958824450404879,0.9438078351869382,0.9319629306702829,0.9430720970746904,0.9621576610598576,0.9458159436588917,0.9403485197531298,161706,323412,0.5,0.9430720970746904,0.048877215875276825,0.054102936143150315
53,False,False,True,False,False,False,False,False,0.8889691609315401,0.9279515498836034,0.9139810652785872,0.8652987416337939,0.9244485961526123,0.9503316719656102,0.9376516605602813,0.911617366788019,0.7258610863600603,0.8093804066051973,0.6969818272797387,0.7575971643357221,0.8779242644072964,0.9177519667110934,0.8688279901381352,0.8872274182717567,0.9366439662904291,0.9579689892846179,0.941278154880209,0.9320618799140998,0.9378463768068169,0.958824450404879,0.9438078351869382,0.9319629306702829,0.9430720970746904,0.9621576610598576,0.9458159436588917,0.9403485197531298,161706,323412,0.5,0.9430720970746904,0.048877215875276825,0.054102936143150315
62,False,False,False,True,False,False,False,False,0.8889691609315401,0.9279515498836034,0.9139810652785872,0.8652987416337939,0.9244485961526123,0.9503316719656102,0.9376516605602813,0.911617366788019,0.7258610863600603,0.8093804066051973,0.6969818272797387,0.7575971643357221,0.8779242644072964,0.9177519667110934,0.8688279901381352,0.8872274182717567,0.9366439662904291,0.9579689892846179,0.941278154880209,0.9320618799140998,0.9378463768068169,0.958824450404879,0.9438078351869382,0.9319629306702829,0.9430720970746904,0.9621576610598576,0.9458159436588917,0.9403485197531298,161706,323412,0.5,0.9430720970746904,0.048877215875276825,0.054102936143150315
44,False,False,True,True,False,False,False,False,0.8889691609315401,0.9279515498836034,0.9139810652785872,0.8652987416337939,0.9244485961526123,0.9503316719656102,0.9376516605602813,0.911617366788019,0.7258610863600603,0.8093804066051973,0.6969818272797387,0.7575971643357221,0.8779242644072964,0.9177519667110934,0.8688279901381352,0.8872274182717567,0.9366439662904291,0.9579689892846179,0.941278154880209,0.9320618799140998,0.9378463768068169,0.958824450404879,0.9438078351869382,0.9319629306702829,0.9430720970746904,0.9621576610598576,0.9458159436588917,0.9403485197531298,161706,323412,0.5,0.9430720970746904,0.048877215875276825,0.054102936143150315
59,False,False,False,True,False,True,False,False,0.8756601144449447,0.951670315263503,0.9019112878064451,0.8509022668101089,0.9043788861020502,0.9623093762754629,0.9179711662481289,0.8911852229268769,0.5678021285645476,0.8543776977972369,0.6958083468163195,0.5047575511672616,0.850869297444557,0.9398859658887118,0.8444820383280822,0.8574326893692248,0.918755800388716,0.9675237777200598,0.919369224797762,0.9181477596407321,0.9271584664596197,0.9709522219336326,0.9300165723552688,0.9243194519671812,0.9295541343406393,0.971790780799723,0.9285465063261904,0.9305653596207233,80853,323412,0.25,0.9295541343406393,0.05149835201467501,0.053894019895694534
50,False,False,True,False,False,True,False,False,0.8756601144449447,0.951670315263503,0.9019112878064451,0.8509022668101089,0.9043788861020502,0.9623093762754629,0.9179711662481289,0.8911852229268769,0.5678021285645476,0.8543776977972369,0.6958083468163195,0.5047575511672616,0.850869297444557,0.9398859658887118,0.8444820383280822,0.8574326893692248,0.918755800388716,0.9675237777200598,0.919369224797762,0.9181477596407321,0.9271584664596197,0.9709522219336326,0.9300165723552688,0.9243194519671812,0.9295541343406393,0.971790780799723,0.9285465063261904,0.9305653596207233,80853,323412,0.25,0.9295541343406393,0.05149835201467501,0.053894019895694534
41,False,False,True,True,False,True,False,False,0.8756601144449447,0.951670315263503,0.9019112878064451,0.8509022668101089,0.9043788861020502,0.9623093762754629,0.9179711662481289,0.8911852229268769,0.5678021285645476,0.8543776977972369,0.6958083468163195,0.5047575511672616,0.850869297444557,0.9398859658887118,0.8444820383280822,0.8574326893692248,0.918755800388716,0.9675237777200598,0.919369224797762,0.9181477596407321,0.9271584664596197,0.9709522219336326,0.9300165723552688,0.9243194519671812,0.9295541343406393,0.971790780799723,0.9285465063261904,0.9305653596207233,80853,323412,0.25,0.9295541343406393,0.05149835201467501,0.053894019895694534
68,False,False,False,False,False,True,False,False,0.8756601144449447,0.951670315263503,0.9019112878064451,0.8509022668101089,0.9043788861020502,0.9623093762754629,0.9179711662481289,0.8911852229268769,0.5678021285645476,0.8543776977972369,0.6958083468163195,0.5047575511672616,0.850869297444557,0.9398859658887118,0.8444820383280822,0.8574326893692248,0.918755800388716,0.9675237777200598,0.919369224797762,0.9181477596407321,0.9271584664596197,0.9709522219336326,0.9300165723552688,0.9243194519671812,0.9295541343406393,0.971790780799723,0.9285465063261904,0.9305653596207233,80853,323412,0.25,0.9295541343406393,0.05149835201467501,0.053894019895694534
20,False,True,False,True,True,False,False,False,0.9021955289482694,0.9363907383686991,0.9253781631700502,0.8801528553809975,0.9423791868783861,0.9620628446400292,0.9543678340990004,0.930689046223557,0.7860006579638779,0.8468455070053474,0.7356590051715004,0.843802865685601,0.9069127035637461,0.937940880917904,0.9069284909987685,0.9069174687487893,0.9544953476978064,0.9699248486348253,0.9628625285372191,0.9462728766885238,0.9480551594400215,0.9656743350452736,0.9565297161624958,0.9397301222589878,0.9557620869630246,0.9707081603204106,0.962336789604443,0.9492783324111009,80853,161706,0.5,0.9557620869630246,0.045859630491752124,0.05356655801475518
2,False,True,True,True,True,False,False,False,0.9021955289482694,0.9363907383686991,0.9253781631700502,0.8801528553809975,0.9423791868783861,0.9620628446400292,0.9543678340990004,0.930689046223557,0.7860006579638779,0.8468455070053474,0.7356590051715004,0.843802865685601,0.9069127035637461,0.937940880917904,0.9069284909987685,0.9069174687487893,0.9544953476978064,0.9699248486348253,0.9628625285372191,0.9462728766885238,0.9480551594400215,0.9656743350452736,0.9565297161624958,0.9397301222589878,0.9557620869630246,0.9707081603204106,0.962336789604443,0.9492783324111009,80853,161706,0.5,0.9557620869630246,0.045859630491752124,0.05356655801475518
